소재지,년도,지역내총생산(2015년 기준/ 연쇄가격) (백만원)
종로구,2010,25907762
중구,2010,48809258
용산구,2010,10450306
성동구,2010,8213234
광진구,2010,6045944
동대문구,2010,6433936
중랑구,2010,3947660
성북구,2010,5275765
강북구,2010,3897307
도봉구,2010,2892873
노원구,2010,5504884
은평구,2010,3927286
서대문구,2010,6389459
마포구,2010,13152867
양천구,2010,6358979
강서구,2010,8259388
구로구,2010,11881642
금천구,2010,13429693
영등포구,2010,27458784
동작구,2010,6330135
관악구,2010,5365298
서초구,2010,26606520
강남구,2010,50124725
송파구,2010,19306616
강동구,2010,6900908
종로구,2011,26676515
중구,2011,48050486
용산구,2011,10577186
성동구,2011,8706354
광진구,2011,5881569
동대문구,2011,6524806
중랑구,2011,3951353
성북구,2011,5378532
강북구,2011,3415691
도봉구,2011,2970708
노원구,2011,5782551
은평구,2011,3729544
서대문구,2011,6882611
마포구,2011,14727155
양천구,2011,6501852
강서구,2011,8747605
구로구,2011,11905786
금천구,2011,14582933
영등포구,2011,28811350
동작구,2011,6333388
관악구,2011,5545042
서초구,2011,27635540
강남구,2011,52927768
송파구,2011,19925280
강동구,2011,7407585
종로구,2012,27354788
중구,2012,47040011
용산구,2012,10243552
성동구,2012,9173396
광진구,2012,5876051
동대문구,2012,6757866
중랑구,2012,4103536
성북구,2012,5523415
강북구,2012,3269084
도봉구,2012,2952452
노원구,2012,5596591
은평구,2012,3678726
서대문구,2012,7546496
마포구,2012,15770933
양천구,2012,6517287
강서구,2012,8815114
구로구,2012,12161584
금천구,2012,15306673
영등포구,2012,28408551
동작구,2012,6297286
관악구,2012,5537617
서초구,2012,28831392
강남구,2012,53311451
송파구,2012,20398913
강동구,2012,8104649
종로구,2013,27492933
중구,2013,46998911
용산구,2013,10103203
성동구,2013,9551326
광진구,2013,5880643
동대문구,2013,6785837
중랑구,2013,4146647
성북구,2013,5589960
강북구,2013,2966538
도봉구,2013,2948645
노원구,2013,5566977
은평구,2013,3884597
서대문구,2013,7489166
마포구,2013,17015917
양천구,2013,6266737
강서구,2013,9582064
구로구,2013,12109115
금천구,2013,15181551
영등포구,2013,29109216
동작구,2013,6130810
관악구,2013,5615912
서초구,2013,29102938
강남구,2013,55879857
송파구,2013,21359856
강동구,2013,7628123
종로구,2014,28795987
중구,2014,47020075
용산구,2014,10010946
성동구,2014,9875532
광진구,2014,5729947
동대문구,2014,6749342
중랑구,2014,4065592
성북구,2014,5382851
강북구,2014,2865234
도봉구,2014,2967107
노원구,2014,5585382
은평구,2014,3803247
서대문구,2014,7447964
마포구,2014,17566744
양천구,2014,6270132
강서구,2014,9541179
구로구,2014,11907133
금천구,2014,14730324
영등포구,2014,29046745
동작구,2014,5773906
관악구,2014,5679347
서초구,2014,29573986
강남구,2014,59139013
송파구,2014,22619324
강동구,2014,7559909
종로구,2015,29331069
중구,2015,49949249
용산구,2015,10023473
성동구,2015,10231864
광진구,2015,5696485
동대문구,2015,6589147
중랑구,2015,3856334
성북구,2015,5407042
강북구,2015,2759140
도봉구,2015,2906723
노원구,2015,5606176
은평구,2015,3866400
서대문구,2015,7507777
마포구,2015,17955655
양천구,2015,6276755
강서구,2015,10149098
구로구,2015,12017187
금천구,2015,14953994
영등포구,2015,30173741
동작구,2015,5521181
관악구,2015,5597548
서초구,2015,30390265
강남구,2015,62295492
송파구,2015,23586997
강동구,2015,7519077
종로구,2016,29843813
중구,2016,52473429
용산구,2016,10221764
성동구,2016,10372266
광진구,2016,5954740
동대문구,2016,6998347
중랑구,2016,4010229
성북구,2016,5624613
강북구,2016,2882038
도봉구,2016,3042411
노원구,2016,5781399
은평구,2016,4202039
서대문구,2016,7661278
마포구,2016,18596061
양천구,2016,6260452
강서구,2016,11134117
구로구,2016,12203198
금천구,2016,15428330
영등포구,2016,30210736
동작구,2016,5842744
관악구,2016,5506898
서초구,2016,31742896
강남구,2016,62600367
송파구,2016,24372060
강동구,2016,7713049
종로구,2017,30347175
중구,2017,49962749
용산구,2017,11248337
성동구,2017,10319471
광진구,2017,5899749
동대문구,2017,6934645
중랑구,2017,4126713
성북구,2017,5687338
강북구,2017,2940688
도봉구,2017,3201186
노원구,2017,6008729
은평구,2017,4340123
서대문구,2017,7864202
마포구,2017,18197917
양천구,2017,6423353
강서구,2017,16070578
구로구,2017,12696656
금천구,2017,15700657
영등포구,2017,30802301
동작구,2017,6005916
관악구,2017,5553958
서초구,2017,32412600
강남구,2017,62951638
송파구,2017,25892942
강동구,2017,7905206
종로구,2018,30424283
중구,2018,52384539
용산구,2018,11664441
성동구,2018,11038914
광진구,2018,6018697
동대문구,2018,6940198
중랑구,2018,4241319
성북구,2018,5742234
강북구,2018,3050845
도봉구,2018,3196705
노원구,2018,6089681
은평구,2018,4510226
서대문구,2018,7919308
마포구,2018,18734499
양천구,2018,6617796
강서구,2018,16743106
구로구,2018,13061147
금천구,2018,16287912
영등포구,2018,32377459
동작구,2018,6024527
관악구,2018,5578726
서초구,2018,33432374
강남구,2018,65689895
송파구,2018,27402979
강동구,2018,8347156
종로구,2019,32427863
중구,2019,52869673
용산구,2019,11992461
성동구,2019,11419293
광진구,2019,6187957
동대문구,2019,7078663
중랑구,2019,4447811
성북구,2019,5761704
강북구,2019,3088259
도봉구,2019,3208282
노원구,2019,6236040
은평구,2019,4601453
서대문구,2019,8107945
