소재지,년도,병원 수
강남구,2010,2302
강남구,2011,2343
강남구,2012,2369
강남구,2013,2407
강남구,2014,2452
강남구,2015,2476
강남구,2016,2531
강남구,2017,2559
강남구,2018,2594
강동구,2010,691
강동구,2011,705
강동구,2012,713
강동구,2013,722
강동구,2014,735
강동구,2015,738
강동구,2016,758
강동구,2017,761
강동구,2018,771
강동구,2019,789
강동구,2020,823
강동구,2021,852
강북구,2010,416
강북구,2011,425
강북구,2012,425
강북구,2013,420
강북구,2014,424
강북구,2015,453
강북구,2016,438
강북구,2017,447
강북구,2018,450
강북구,2019,461
강북구,2020,466
강북구,2021,467
강서구,2010,652
강서구,2011,660
강서구,2012,664
강서구,2013,673
강서구,2014,688
강서구,2015,708
강서구,2016,739
강서구,2017,777
강서구,2018,802
강서구,2019,836
강서구,2020,861
강서구,2021,887
관악구,2010,657
관악구,2011,652
관악구,2012,651
관악구,2013,659
관악구,2014,661
관악구,2015,664
관악구,2016,666
관악구,2017,673
관악구,2018,681
관악구,2019,693
관악구,2020,698
관악구,2021,710
광진구,2010,501
광진구,2011,507
광진구,2012,512
광진구,2013,523
광진구,2014,528
광진구,2015,539
광진구,2016,539
광진구,2017,543
광진구,2018,553
광진구,2019,552
광진구,2020,552
광진구,2021,559
구로구,2010,496
구로구,2011,242
구로구,2012,513
구로구,2013,524
구로구,2014,539
구로구,2015,550
구로구,2016,566
구로구,2017,557
구로구,2018,556
구로구,2019,559
구로구,2020,569
구로구,2021,583
금천구,2010,283
금천구,2011,290
금천구,2012,305
금천구,2013,306
금천구,2014,315
금천구,2015,319
금천구,2016,336
금천구,2017,330
금천구,2018,339
금천구,2019,356
금천구,2020,354
금천구,2021,356
노원구,2010,672
노원구,2011,674
노원구,2012,667
노원구,2013,678
노원구,2014,684
노원구,2015,698
노원구,2016,712
노원구,2017,717
노원구,2018,717
노원구,2019,725
노원구,2020,734
노원구,2021,737
도봉구,2010,334
도봉구,2011,335
도봉구,2012,336
도봉구,2013,346
도봉구,2014,345
도봉구,2015,352
도봉구,2016,363
도봉구,2017,367
도봉구,2018,364
도봉구,2019,369
도봉구,2020,367
도봉구,2021,366
동대문구,2010,609
동대문구,2011,615
동대문구,2012,596
동대문구,2013,586
동대문구,2014,589
동대문구,2015,593
동대문구,2016,599
동대문구,2017,605
동대문구,2018,603
동대문구,2019,607
동대문구,2020,586
동대문구,2021,596
동작구,2010,515
동작구,2011,528
동작구,2012,534
동작구,2013,536
동작구,2014,550
동작구,2015,556
동작구,2016,559
동작구,2017,560
동작구,2018,570
동작구,2019,576
동작구,2020,588
동작구,2021,595
마포구,2010,585
마포구,2011,607
마포구,2012,618
마포구,2013,635
마포구,2014,667
마포구,2015,690
마포구,2016,702
마포구,2017,717
마포구,2018,715
마포구,2019,730
마포구,2020,742
마포구,2021,762
서대문구,2010,403
서대문구,2011,400
서대문구,2012,397
서대문구,2013,412
서대문구,2014,413
서대문구,2015,424
서대문구,2016,431
서대문구,2017,432
서대문구,2018,430
서대문구,2019,435
서대문구,2020,441
서대문구,2021,437
서초구,2010,1088
서초구,2011,1145
서초구,2012,1139
서초구,2013,1172
서초구,2014,1184
서초구,2015,1209
서초구,2016,1216
서초구,2017,1229
서초구,2018,1201
서초구,2019,1226
서초구,2020,1251
서초구,2021,1306
성동구,2010,352
성동구,2011,365
성동구,2012,365
성동구,2013,371
성동구,2014,381
성동구,2015,394
성동구,2016,394
성동구,2017,432
성동구,2018,432
성동구,2019,444
성동구,2020,456
성동구,2021,460
성북구,2010,552
성북구,2011,556
성북구,2012,553
성북구,2013,554
성북구,2014,541
성북구,2015,529
성북구,2016,527
성북구,2017,525
성북구,2018,530
성북구,2019,528
성북구,2020,540
성북구,2021,533
송파구,2010,954
송파구,2011,974
송파구,2012,982
송파구,2013,982
송파구,2014,1006
송파구,2015,1018
송파구,2016,1048
송파구,2017,1106
송파구,2018,1129
송파구,2019,1165
송파구,2020,1194
송파구,2021,1214
양천구,2010,583
양천구,2011,587
양천구,2012,594
양천구,2013,591
양천구,2014,610
양천구,2015,609
양천구,2016,613
양천구,2017,621
양천구,2018,627
양천구,2019,626
양천구,2020,638
양천구,2021,651
영등포구,2010,676
영등포구,2011,698
영등포구,2012,681
영등포구,2013,678
영등포구,2014,699
영등포구,2015,707
영등포구,2016,724
영등포구,2017,729
영등포구,2018,738
영등포구,2019,756
영등포구,2020,779
영등포구,2021,793
용산구,2010,292
용산구,2011,288
용산구,2012,287
용산구,2013,280
용산구,2014,289
용산구,2015,300
용산구,2016,298
용산구,2017,298
용산구,2018,304
용산구,2019,307
용산구,2020,310
용산구,2021,323
은평구,2010,537
은평구,2011,515
은평구,2012,550
은평구,2013,581
은평구,2014,593
은평구,2015,605
은평구,2016,622
은평구,2017,623
은평구,2018,644
은평구,2019,662
은평구,2020,677
은평구,2021,688
종로구,2010,474
종로구,2011,473
종로구,2012,479
종로구,2013,475
종로구,2014,476
종로구,2015,473
종로구,2016,485
종로구,2017,500
종로구,2018,496
종로구,2019,494
종로구,2020,494
종로구,2021,489
중구,2010,542
중구,2011,558
중구,2012,552
중구,2013,549
중구,2014,544
중구,2015,528
중구,2016,540
중구,2017,543
중구,2018,558
중구,2019,560
중구,2020,572
중구,2021,572
중랑구,2010,455
중랑구,2011,468
중랑구,2012,460
중랑구,2013,465
중랑구,2014,473
중랑구,2015,483
중랑구,2016,490
중랑구,2017,491
중랑구,2018,498
중랑구,2019,511
중랑구,2020,531
중랑구,2021,535
